epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9236,1.33418,1.70506,1.4024,0.97104,0.85366,0.96128,0.58244,1.29605,1.20092,1.40147,0.000663877,0.000663877,0.000663877
2,49.2231,1.45631,1.45009,1.48276,0.97451,0.93265,0.97208,0.7141,0.97569,1.14153,1.13004,0.00128664,0.00128664,0.00128664
3,71.7729,1.44439,1.44622,1.48706,0.91641,0.8023,0.9259,0.58649,1.18209,1.13355,1.27662,0.00186539,0.00186539,0.00186539
4,93.6055,1.50513,1.44933,1.51473,0.8756,0.85847,0.94357,0.55913,1.4325,1.13717,1.48604,0.001802,0.001802,0.001802
5,116.209,1.4587,1.36378,1.49078,0.95273,0.78049,0.93921,0.63411,1.11337,1.08505,1.21111,0.001736,0.001736,0.001736
6,138.524,1.41886,1.32483,1.43874,0.9465,0.86309,0.96853,0.66469,1.05757,0.88572,1.19151,0.00167,0.00167,0.00167
7,161.351,1.37644,1.2271,1.42613,0.95059,1,0.99,0.67378,1.15865,0.87004,1.23551,0.001604,0.001604,0.001604
8,183.915,1.38731,1.22266,1.44324,0.93558,0.90244,0.97738,0.63944,1.40304,1.07306,1.40746,0.001538,0.001538,0.001538
9,205.801,1.35709,1.23054,1.41181,0.92572,0.91211,0.98021,0.6856,1.14823,0.80808,1.22069,0.001472,0.001472,0.001472
10,227.801,1.30663,1.15703,1.37746,0.9285,0.92683,0.98598,0.63708,1.2982,0.78722,1.29586,0.001406,0.001406,0.001406
11,250.16,1.30974,1.1093,1.39032,0.95939,0.92683,0.96565,0.64797,1.25722,0.86544,1.33157,0.00134,0.00134,0.00134
12,271.815,1.326,1.07424,1.40618,0.98608,1,0.995,0.71942,1.06863,0.69809,1.18305,0.001274,0.001274,0.001274
13,294.069,1.2619,1.03568,1.3615,0.9958,1,0.995,0.68557,1.10719,0.66785,1.19835,0.001208,0.001208,0.001208
14,316.33,1.23645,1.01735,1.33823,0.97554,0.97288,0.97998,0.67065,1.08456,0.75413,1.21805,0.001142,0.001142,0.001142
15,338.908,1.2041,0.97331,1.31347,0.97002,0.95122,0.9848,0.69923,1.05749,0.68243,1.19847,0.001076,0.001076,0.001076
16,361.397,1.21378,0.98918,1.31661,0.97544,0.96868,0.99071,0.64917,1.216,0.8092,1.25806,0.00101,0.00101,0.00101
17,383.864,1.18515,0.93232,1.30475,0.99997,1,0.995,0.69621,1.08349,0.64173,1.16405,0.000944,0.000944,0.000944
18,406.761,1.14336,0.88067,1.28932,0.99286,0.95122,0.99358,0.69156,1.11663,0.62779,1.22795,0.000878,0.000878,0.000878
19,429.34,1.17023,0.88075,1.31077,0.99825,1,0.995,0.72832,0.98873,0.56994,1.1311,0.000812,0.000812,0.000812
20,451.662,1.12519,0.86187,1.28199,0.99731,1,0.995,0.7288,0.88937,0.54166,1.08176,0.000746,0.000746,0.000746
