epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1809,1.22175,1.56215,1.25902,0.82958,0.83112,0.86147,0.52231,1.29306,1.40775,1.45807,0.000663877,0.000663877,0.000663877
2,54.2098,1.25838,1.32002,1.30747,0.85563,0.72292,0.84983,0.52051,1.26966,1.37497,1.32334,0.00128664,0.00128664,0.00128664
3,79.6594,1.34449,1.29757,1.35758,0.77781,0.76859,0.88056,0.55538,1.15545,1.26249,1.25155,0.00186539,0.00186539,0.00186539
4,105.161,1.2896,1.17554,1.32605,0.9516,0.87805,0.97026,0.60957,1.33145,1.13443,1.36483,0.001802,0.001802,0.001802
5,130.603,1.26411,1.16509,1.32984,0.83266,0.65854,0.81402,0.46801,1.57594,1.38789,1.52896,0.001736,0.001736,0.001736
6,156.423,1.23532,1.0715,1.28959,0.78028,0.80488,0.84141,0.5167,1.23615,1.22101,1.32569,0.00167,0.00167,0.00167
7,181.726,1.20565,0.98888,1.27871,0.92267,0.97561,0.97437,0.61061,1.32459,0.8467,1.35359,0.001604,0.001604,0.001604
8,207.38,1.1691,0.93459,1.25783,0.97469,0.9394,0.98412,0.61383,1.34756,0.91518,1.37387,0.001538,0.001538,0.001538
9,232.646,1.12921,0.85925,1.22315,0.84225,0.95122,0.85495,0.56622,1.10571,0.98951,1.24467,0.001472,0.001472,0.001472
10,258.125,1.10494,0.83734,1.21749,0.87216,0.9984,0.93454,0.62292,1.20281,0.87249,1.24493,0.001406,0.001406,0.001406
11,282.589,1.10673,0.79528,1.21467,0.99367,0.90244,0.97992,0.7219,0.97913,0.71113,1.13117,0.00134,0.00134,0.00134
12,307.883,1.08855,0.74677,1.20939,0.96734,0.97561,0.99407,0.7209,1.0397,0.69128,1.19477,0.001274,0.001274,0.001274
13,333.526,1.06715,0.7493,1.18951,0.87909,0.97561,0.97934,0.6589,1.14931,0.66105,1.21675,0.001208,0.001208,0.001208
14,359.183,1.04401,0.7258,1.17166,1,0.99924,0.995,0.70615,1.10543,0.60593,1.20253,0.001142,0.001142,0.001142
15,385.427,1.03494,0.68592,1.1849,0.97216,0.95122,0.98707,0.6986,1.04489,0.59103,1.14922,0.001076,0.001076,0.001076
16,410.453,1.03403,0.68473,1.15872,0.95124,1,0.99239,0.7305,0.99929,0.60802,1.14555,0.00101,0.00101,0.00101
17,435.896,0.98281,0.64133,1.14185,1,0.97134,0.99283,0.68853,1.12992,0.57484,1.21151,0.000944,0.000944,0.000944
18,461.939,1.00235,0.64194,1.14179,1,0.97795,0.995,0.68516,1.14445,0.60924,1.20026,0.000878,0.000878,0.000878
19,487.384,0.97887,0.61501,1.12746,0.99426,1,0.995,0.7326,1.02383,0.54632,1.16266,0.000812,0.000812,0.000812
20,513.011,0.92348,0.58648,1.11935,0.99873,0.97561,0.99452,0.77285,0.96472,0.54176,1.09842,0.000746,0.000746,0.000746
21,538.39,0.89212,0.56787,1.09655,0.97612,0.99718,0.99405,0.73034,1.00854,0.51739,1.16241,0.00068,0.00068,0.00068
22,563.184,0.86379,0.53918,1.06354,1,0.95085,0.98879,0.75753,0.94682,0.50865,1.09913,0.000614,0.000614,0.000614
23,588.43,0.8585,0.53584,1.07984,1,0.99664,0.995,0.74876,0.94409,0.54374,1.11252,0.000548,0.000548,0.000548
24,613.751,0.82244,0.51782,1.04175,0.9969,0.95122,0.99315,0.73639,0.93676,0.50671,1.10465,0.000482,0.000482,0.000482
25,638.944,0.80025,0.50593,1.04419,0.99516,0.95122,0.99101,0.76108,0.88995,0.4928,1.08839,0.000416,0.000416,0.000416
26,664.709,0.77092,0.48291,1.02513,0.99656,0.95122,0.99314,0.75967,0.88343,0.46526,1.08095,0.00035,0.00035,0.00035
27,690.118,0.7557,0.47189,1.02412,0.99607,1,0.995,0.73328,0.90311,0.48786,1.08838,0.000284,0.000284,0.000284
28,715.673,0.74647,0.45933,1.02341,1,0.99586,0.995,0.75505,0.88587,0.44916,1.08906,0.000218,0.000218,0.000218
29,741.286,0.72521,0.44878,1.00432,0.99732,0.95122,0.99227,0.7673,0.85863,0.45268,1.08264,0.000152,0.000152,0.000152
30,767.023,0.71857,0.44897,1.0079,0.95062,1,0.99405,0.75664,0.90135,0.45276,1.0839,8.6e-05,8.6e-05,8.6e-05
